Matrix Dimension,Custom DCT Time (ms),JTransforms DCT Time (ms)
10,9.5229,2.8783
20,0.8415,0.2701
30,1.8935,0.6305
40,1.1537,0.8011
50,1.4744,0.2425
60,1.9631,1.1287
70,3.7284,2.3723
80,5.5483,0.9004
90,3.7821,0.8615
100,2.6278,1.2155
110,2.6761,2.208
120,4.78,1.5915
130,3.5789,2.6127
140,5.5479,1.9911
150,7.0149,2.3913
160,6.7138,1.7555
170,7.6449,6.9437
180,7.7808,2.1203
190,12.478,8.9408
200,9.0793,1.1548
210,10.6726,1.5479
220,12.3974,2.7672
230,113.7164,4.3509
240,70.8107,2.3422
250,57.7347,2.2827
260,64.5295,4.2359
270,69.1794,2.1783
280,70.1433,3.5086
290,73.9172,4.4829
300,82.4483,3.6272
310,80.9475,1.9588
320,90.9971,0.8265
330,94.3127,1.2779
340,93.0679,1.2552
350,99.6691,1.2537
360,109.2459,0.845
370,115.7292,2.0422
380,118.9037,1.6195
390,119.1969,1.0219
400,124.3519,0.9465
410,122.5236,2.3279
420,136.8259,1.31
430,146.9534,2.4571
440,152.7784,1.4414
450,159.38,1.2857
460,164.6935,1.9558
470,174.0027,4.9161
480,185.3611,1.387
490,187.9155,61.2475
500,208.3272,1.4462
510,217.7513,87.0564
520,219.8475,56.9456
530,221.3136,3.2855
540,236.8928,1.6061
550,251.4761,3.9026
560,257.0188,1.8044
570,272.3293,2.9678
580,276.0699,5.3885
590,295.7866,5.0077
600,302.0,1.8024
610,322.2993,5.2037
620,338.8025,3.3493
630,350.0003,2.3249
640,355.2496,3.7144
650,375.0978,2.6546
660,390.4447,2.7942
670,409.8525,7.2922
680,417.8524,3.1699
690,436.9556,5.3095
700,449.8652,3.4996
710,473.3226,10.3375
720,491.0961,3.0002
730,500.9821,8.9578
740,518.3383,7.1245
750,520.4773,2.8621
760,556.8373,4.8698
770,560.3422,7.45
780,592.9644,4.2545
790,616.3736,12.3008
800,636.7661,3.1031
810,657.7799,4.0419
820,670.3593,9.572
830,703.7814,13.8383
840,724.0828,4.9498
850,750.4371,4.8687
860,764.0974,10.7406
870,786.7594,6.3848
880,828.5639,5.1611
890,871.01,17.1353
900,889.4164,4.8662
910,887.8098,7.1485
920,923.1085,6.45
930,931.8444,8.5522
940,988.1804,11.6246
950,998.5743,6.5377
960,1044.6088,4.9859
970,1093.7452,28.8724
980,1103.8673,10.6704
990,1137.9926,9.8197
1000,1152.699,5.5463
